registration_surveyid,genotype,yield_ranked,country_name,crop,year,AeZ,longitude,latitude,zone
6c4b772e-e941-4619-b57d-a8c2e83253a3,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470959,4
6c4b772e-e941-4619-b57d-a8c2e83253a3,wh 403,3,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470959,4
6c4b772e-e941-4619-b57d-a8c2e83253a3,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470959,4
46efa39e-f815-4265-acbc-6e52ba2e9e47,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.91265,-2.470955,4
46efa39e-f815-4265-acbc-6e52ba2e9e47,wh 302,1,Rwanda,maize,2022,Tropic - cool / humid,29.91265,-2.470955,4
46efa39e-f815-4265-acbc-6e52ba2e9e47,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.91265,-2.470955,4
4f32aabb-8ec2-4721-bfda-fb97d2f11a4b,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.91261,-2.47094,4
4f32aabb-8ec2-4721-bfda-fb97d2f11a4b,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.91261,-2.47094,4
4f32aabb-8ec2-4721-bfda-fb97d2f11a4b,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.91261,-2.47094,4
93b60136-2066-4698-9484-6edd9a0206b9,ckdhh 170121,3,Rwanda,maize,2022,Tropic - cool / humid,29.91278,-2.470938,4
93b60136-2066-4698-9484-6edd9a0206b9,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.91278,-2.470938,4
93b60136-2066-4698-9484-6edd9a0206b9,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.91278,-2.470938,4
b510f15e-e343-4acb-b2cf-933847b8ae58,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.91272,-2.47095,4
b510f15e-e343-4acb-b2cf-933847b8ae58,wh 504,1,Rwanda,maize,2022,Tropic - cool / humid,29.91272,-2.47095,4
b510f15e-e343-4acb-b2cf-933847b8ae58,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.91272,-2.47095,4
7ca491db-ca3c-482c-9346-9a2998706efb,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.91262,-2.470975,4
7ca491db-ca3c-482c-9346-9a2998706efb,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.91262,-2.470975,4
7ca491db-ca3c-482c-9346-9a2998706efb,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.91262,-2.470975,4
4e3e437c-0c85-4af5-a1ae-eb1b4d16d66a,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470978,4
4e3e437c-0c85-4af5-a1ae-eb1b4d16d66a,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470978,4
4e3e437c-0c85-4af5-a1ae-eb1b4d16d66a,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470978,4
722ba387-455d-42c8-990f-1adb29e44af7,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.91261,-2.470943,4
722ba387-455d-42c8-990f-1adb29e44af7,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.91261,-2.470943,4
722ba387-455d-42c8-990f-1adb29e44af7,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.91261,-2.470943,4
2fd98d76-1e7c-4b50-8875-4389eade2450,wh 403,1,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470931,4
2fd98d76-1e7c-4b50-8875-4389eade2450,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470931,4
2fd98d76-1e7c-4b50-8875-4389eade2450,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470931,4
32d7a61c-378b-4de8-a154-80a1b02c6eb4,ckdhh 170121,3,Rwanda,maize,2022,Tropic - cool / humid,29.91264,-2.470947,4
32d7a61c-378b-4de8-a154-80a1b02c6eb4,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.91264,-2.470947,4
32d7a61c-378b-4de8-a154-80a1b02c6eb4,wh 504,1,Rwanda,maize,2022,Tropic - cool / humid,29.91264,-2.470947,4
f2157fac-fc56-45df-a854-0c29c3cfbf7b,wh 403,1,Rwanda,maize,2022,Tropic - cool / humid,29.91247,-2.473207,4
f2157fac-fc56-45df-a854-0c29c3cfbf7b,ckdhh 160404,3,Rwanda,maize,2022,Tropic - cool / humid,29.91247,-2.473207,4
f2157fac-fc56-45df-a854-0c29c3cfbf7b,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.91247,-2.473207,4
33e10343-ceed-4f86-a3a5-e68923171390,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.91258,-2.470977,4
33e10343-ceed-4f86-a3a5-e68923171390,wh 403,3,Rwanda,maize,2022,Tropic - cool / humid,29.91258,-2.470977,4
33e10343-ceed-4f86-a3a5-e68923171390,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.91258,-2.470977,4
00a185ea-5074-4f6f-a8af-0cd990b690c8,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470958,4
00a185ea-5074-4f6f-a8af-0cd990b690c8,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470958,4
00a185ea-5074-4f6f-a8af-0cd990b690c8,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.91263,-2.470958,4
4f3f1b37-23f4-4d4b-a4cc-283dc9accb12,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.9126,-2.470939,4
4f3f1b37-23f4-4d4b-a4cc-283dc9accb12,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.9126,-2.470939,4
4f3f1b37-23f4-4d4b-a4cc-283dc9accb12,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.9126,-2.470939,4
8f706108-d5ef-4cd8-9d81-a23ea0951872,ckdhh 170121,3,Rwanda,maize,2022,Tropic - cool / humid,29.9126,-2.471033,4
8f706108-d5ef-4cd8-9d81-a23ea0951872,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.9126,-2.471033,4
8f706108-d5ef-4cd8-9d81-a23ea0951872,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.9126,-2.471033,4
0f44a56f-621b-4242-984c-3528af91069d,wh 504,1,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.47097,4
0f44a56f-621b-4242-984c-3528af91069d,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.47097,4
0f44a56f-621b-4242-984c-3528af91069d,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.47097,4
80777615-beab-4969-a75c-9880d071e2bd,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.470941,4
80777615-beab-4969-a75c-9880d071e2bd,rhm 1409,1,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.470941,4
80777615-beab-4969-a75c-9880d071e2bd,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.470941,4
3474ab6e-256f-47aa-8f8d-6e349472216a,ckhmln 170241,3,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.470965,4
3474ab6e-256f-47aa-8f8d-6e349472216a,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.470965,4
3474ab6e-256f-47aa-8f8d-6e349472216a,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.91266,-2.470965,4
4c1eb479-2684-4be5-827a-a60b5617ccb6,ckdhh 160404,2,Rwanda,maize,2022,Tropic - cool / humid,29.91264,-2.47096,4
4c1eb479-2684-4be5-827a-a60b5617ccb6,wh 302,1,Rwanda,maize,2022,Tropic - cool / humid,29.91264,-2.47096,4
4c1eb479-2684-4be5-827a-a60b5617ccb6,wh 403,3,Rwanda,maize,2022,Tropic - cool / humid,29.91264,-2.47096,4
cc3df1bd-328c-49d3-bca7-f1e95af3f5a6,ckdhh 160387,3,Rwanda,maize,2022,Tropic - cool / humid,29.91455,-2.468237,4
cc3df1bd-328c-49d3-bca7-f1e95af3f5a6,wh 302,2,Rwanda,maize,2022,Tropic - cool / humid,29.91455,-2.468237,4
cc3df1bd-328c-49d3-bca7-f1e95af3f5a6,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.91455,-2.468237,4
bd843239-8708-423e-b78a-860293b564c7,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480858,4
bd843239-8708-423e-b78a-860293b564c7,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480858,4
bd843239-8708-423e-b78a-860293b564c7,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480858,4
26ddb7a4-60df-4919-a74f-aed34941e616,wh 403,1,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480849,4
26ddb7a4-60df-4919-a74f-aed34941e616,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480849,4
26ddb7a4-60df-4919-a74f-aed34941e616,ckdhh 160387,3,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480849,4
21d66073-1f31-406e-9918-94a603a31b67,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480832,4
21d66073-1f31-406e-9918-94a603a31b67,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480832,4
21d66073-1f31-406e-9918-94a603a31b67,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480832,4
ebf3a9f8-dfa9-4c58-9aa0-c77a70a17945,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480829,4
ebf3a9f8-dfa9-4c58-9aa0-c77a70a17945,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480829,4
ebf3a9f8-dfa9-4c58-9aa0-c77a70a17945,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480829,4
d0488d08-33d5-4458-b6e1-42666b6f5dc5,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480835,4
