genotype,estimate,SE,quasiSE,quasiVar,environment,ref_gen
IITA-TMS-IBA000070,0,0,0.55778788,0.31112732,Akwa Ibom-2019,IITA-TMS-IBA000070
IITA-TMS-IBA30572,0.890462374,0.799705616,0.561967976,0.315808006,Akwa Ibom-2019,IITA-TMS-IBA000070
IITA-TMS-IBA980581,0.345576573,0.8170965,0.575029319,0.330658718,Akwa Ibom-2019,IITA-TMS-IBA000070
K195,0.544908151,0.812935991,0.626840667,0.392929221,Akwa Ibom-2019,IITA-TMS-IBA000070
TMEB2,1.688438794,0.789121397,0.552225528,0.304953034,Akwa Ibom-2019,IITA-TMS-IBA000070
TMEB419,0.223241962,0.812252114,0.560802636,0.314499597,Akwa Ibom-2019,IITA-TMS-IBA000070
TMEB693,1.69527552,0.83746117,0.620232022,0.384687761,Akwa Ibom-2019,IITA-TMS-IBA000070
TMEB7,0.424422922,0.771292404,0.512405076,0.262558962,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1049P0001,-0.040449922,0.879581266,0.666201723,0.443824735,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1053P0010,0.504284157,0.818709796,0.576365708,0.332197429,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.246687175,0.781768725,0.568275461,0.322937,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1153P0001,-0.199596734,0.84257202,0.666628603,0.444393694,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1160P0004,0.375996035,0.860673332,0.649356487,0.421663847,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1307P0016,1.353607189,0.743612258,0.528505534,0.2793181,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1343P0002,1.644478848,0.903495683,0.702981283,0.494182684,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1343P0022,1.248394069,0.817459188,0.570854677,0.325875062,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F1343P0044,0.431614557,0.756939696,0.515615618,0.265859465,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-13F2110P0008,-0.192167408,0.845367511,0.668170168,0.446451373,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1035P0004,1.293743005,0.792784567,0.534470554,0.285658773,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1195P0005,0.77990332,0.70179822,0.543601499,0.29550259,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1223P0007,0.26279196,0.845197651,0.612517857,0.375178125,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1287P0008,0.939441307,0.843647528,0.613804747,0.376756268,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1291P0003,0.710974817,0.859223928,0.62847461,0.394980335,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1291P0012,1.946554909,0.881944835,0.670048027,0.448964358,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1301P0004,0.998805157,0.856138326,0.66656262,0.444305726,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1301P0013,-1.140070601,1.043300941,0.860501194,0.740462306,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1306P0015,0.485784046,0.78222254,0.584438768,0.341568674,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1310P0004,1.149050185,0.792336173,0.544963219,0.29698491,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-14F1310P0015,1.718340233,0.877830699,0.664980455,0.442199005,Akwa Ibom-2019,IITA-TMS-IBA000070
TMS-IBA961632,-0.048074608,0.845509973,0.621160206,0.385840001,Akwa Ibom-2019,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.511826187,0.261966045,Akwa Ibom-2021,IITA-TMS-IBA000070
IITA-TMS-IBA30572,-0.620767422,0.727592923,0.50579558,0.255829169,Akwa Ibom-2021,IITA-TMS-IBA000070
IITA-TMS-IBA980581,-0.88665701,0.730671136,0.495031689,0.245056373,Akwa Ibom-2021,IITA-TMS-IBA000070
K195,-1.14739067,0.765627071,0.546123437,0.298250808,Akwa Ibom-2021,IITA-TMS-IBA000070
TMEB2,-0.096266025,0.665863886,0.482239853,0.232555275,Akwa Ibom-2021,IITA-TMS-IBA000070
TMEB419,0.106777622,0.724542659,0.491584444,0.241655266,Akwa Ibom-2021,IITA-TMS-IBA000070
TMEB693,-0.049734298,0.674449584,0.488830855,0.238955605,Akwa Ibom-2021,IITA-TMS-IBA000070
TMEB7,0.133437988,0.720816063,0.510748563,0.260864095,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1049P0001,-0.255560802,0.756619635,0.533255098,0.284361,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1053P0010,-0.081971376,0.762188003,0.534535106,0.28572778,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.352272308,0.749290086,0.510772196,0.260888237,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1153P0001,-0.769414863,0.735159673,0.540041903,0.291645257,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1160P0004,-0.467885779,0.755501561,0.528547414,0.279362369,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1307P0016,-0.030985311,0.746035636,0.515432416,0.265670575,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1343P0022,-1.417048078,0.739821542,0.512753839,0.2629165,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F1343P0044,-0.71923271,0.742970736,0.520436519,0.270854171,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-13F2110P0008,-0.851546854,0.712539466,0.510210926,0.260315189,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1035P0004,-0.659549579,0.668929853,0.480461242,0.230843005,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1195P0005,-1.401040575,0.728406062,0.515905747,0.266158739,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1223P0007,-1.473707823,0.763282564,0.575237439,0.330898111,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1287P0008,-0.886302062,0.735493985,0.508947007,0.259027055,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1291P0003,-1.039551251,0.709084489,0.54975708,0.302232847,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1301P0013,0.239654447,0.711353304,0.518677639,0.269026493,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1306P0015,-1.289975354,0.694383745,0.497093914,0.247102359,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1310P0004,-1.620973475,0.761113672,0.537552331,0.288962508,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-14F1310P0015,-1.236605998,0.72878282,0.531412065,0.282398783,Akwa Ibom-2021,IITA-TMS-IBA000070
TMS-IBA961632,-0.627567922,0.772215703,0.56610787,0.320478121,Akwa Ibom-2021,IITA-TMS-IBA000070
IITA-TMS-IBA000070,0,0,0.543029992,0.294881572,Benue-2019,IITA-TMS-IBA000070
IITA-TMS-IBA30572,-1.435792488,0.81102895,0.582705819,0.339546072,Benue-2019,IITA-TMS-IBA000070
IITA-TMS-IBA980581,1.133246191,0.825684461,0.60427799,0.365151889,Benue-2019,IITA-TMS-IBA000070
K195,0.205210634,0.786362735,0.545015875,0.297042304,Benue-2019,IITA-TMS-IBA000070
TMEB2,-0.300758877,0.806122441,0.566687552,0.321134781,Benue-2019,IITA-TMS-IBA000070
TMEB419,0.285521601,0.785290197,0.578668123,0.334856797,Benue-2019,IITA-TMS-IBA000070
TMEB693,-0.746444775,0.779921795,0.536856575,0.288214983,Benue-2019,IITA-TMS-IBA000070
TMEB7,-0.906012784,0.719732016,0.549030457,0.301434443,Benue-2019,IITA-TMS-IBA000070
TMS-13F1049P0001,-0.741588571,0.79511194,0.619061063,0.3832366,Benue-2019,IITA-TMS-IBA000070
TMS-13F1053P0010,-0.564983486,0.750649466,0.492237136,0.242297398,Benue-2019,IITA-TMS-IBA000070
TMS-13F1088P0007,-0.826919153,0.774620436,0.530516711,0.281447981,Benue-2019,IITA-TMS-IBA000070
TMS-13F1153P0001,-0.368142267,0.79866058,0.599075278,0.358891189,Benue-2019,IITA-TMS-IBA000070
TMS-13F1160P0004,-0.957563611,0.796026482,0.567280433,0.32180709,Benue-2019,IITA-TMS-IBA000070
TMS-13F1307P0016,-0.508574007,0.8291028,0.607928989,0.369577656,Benue-2019,IITA-TMS-IBA000070
TMS-13F1343P0002,-0.789424804,0.737707208,0.525814038,0.276480403,Benue-2019,IITA-TMS-IBA000070
TMS-13F1343P0022,-0.167580824,0.807367549,0.569850773,0.324729904,Benue-2019,IITA-TMS-IBA000070
TMS-13F1343P0044,-0.968180905,0.765975922,0.544149444,0.296098617,Benue-2019,IITA-TMS-IBA000070
TMS-13F2110P0008,-0.837789845,0.79700226,0.566896461,0.321371598,Benue-2019,IITA-TMS-IBA000070
TMS-14F1035P0004,-0.128474882,0.732111567,0.557488186,0.310793078,Benue-2019,IITA-TMS-IBA000070
TMS-14F1195P0005,-0.52354848,0.777452555,0.532682188,0.283750313,Benue-2019,IITA-TMS-IBA000070
TMS-14F1223P0007,1.100437358,0.862947529,0.696763982,0.485480047,Benue-2019,IITA-TMS-IBA000070
TMS-14F1287P0008,0.016048156,0.746972402,0.542890631,0.294730237,Benue-2019,IITA-TMS-IBA000070
TMS-14F1291P0003,-0.900083478,0.735879999,0.527590314,0.278351539,Benue-2019,IITA-TMS-IBA000070
TMS-14F1291P0012,-2.010547968,0.844862224,0.645996702,0.41731174,Benue-2019,IITA-TMS-IBA000070
