"genotype","estimate","SE","quasiSE","quasiVar","environment","ref_gen"
"IITA-TMS-IBA000070",0,0,0.67096135293877,0.450189137137424,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA30572",0.732852270297573,1.02835591740607,0.752660229261693,0.566497420712264,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA980581",-7.03549649224965,354.089322061184,354.088466885485,125378.642381314,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"K195",1.74998875546283,1.0378771652975,0.815858485670343,0.665625068640305,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMEB2",0.0862061617637345,0.888586631983911,0.627694216627756,0.394000029587932,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMEB419",0.545367970572984,1.06319492547277,0.774517633535079,0.599877564656779,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMEB693",0.947213874258715,1.15489912204648,0.923773655986441,0.853357767494555,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMEB7",-0.593491608944038,0.966384740129216,0.667074795412223,0.444988782674259,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1049P0001",1.18874052165476,1.08539278348432,0.831902023199496,0.692060976203415,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1053P0010",1.12151245096675,1.2214115273436,0.990743929758966,0.98157353435424,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1088P0007",0.317884083055326,0.908763701561314,0.637142059545028,0.40595000404128,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1153P0001",0.87015190465532,0.970190465828291,0.725252891902097,0.525991757212354,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1160P0004",1.69816519857154,1.15492093225221,0.936261359759353,0.876585333778432,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1307P0016",1.26912519834841,0.92739423333031,0.723173384914798,0.522979744649127,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1343P0002",1.61999776039434,1.00793255378347,0.739080913489269,0.546240596684132,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1343P0022",0.0483039183299087,1.13371436959504,0.896110711610816,0.803014407463643,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F1343P0044",-1.30525974734449,1.26302069973438,1.03360500519017,1.06833930675416,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-13F2110P0008",0.0943191578907039,0.970017107613474,0.77754976598427,0.604583638582193,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1035P0004",0.222252127584841,1.00438267427867,0.723086622248866,0.522854263275274,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1195P0005",-1.10937921717913,0.927120399358806,0.705721275799408,0.498042519115944,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1223P0007",-0.632724305659308,1.18975496467882,0.939843014201822,0.883304891343966,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1287P0008",1.47991149351472,1.05105637585954,0.785065603710079,0.616328002128671,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1291P0003",0.691551441577371,1.13939501015183,0.909015255518989,0.826308734766252,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1291P0012",0.782841966765073,1.0780845741479,0.811548906776756,0.658611628090547,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1301P0004",-7.45875433913394,580.947604883277,580.946400803639,337498.720606702,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1301P0013",-0.304576187313005,1.26360668881747,1.04277488746418,1.08737946592593,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1306P0015",1.29006778561001,0.938832644258614,0.690803516934129,0.477209499008562,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1310P0004",0.244410942710013,0.945217882985002,0.638404102811738,0.40755979848686,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-14F1310P0015",1.41987167389194,1.00992596194554,0.737924980336624,0.544533276604807,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"TMS-IBA961632",0.119097789421002,1.10529362687536,0.869653802271855,0.756297735805895,"Akwa Ibom-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA000070",0,0,0.509362614232372,0.259450272777636,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"IITA-TMS-IBA30572",-0.650661804946652,0.728772251593535,0.510509827222005,0.260620283690241,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"IITA-TMS-IBA980581",-0.336931544624153,0.73308149435902,0.50023172856885,0.25023178226698,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"K195",1.78000136329234,0.926633813998134,0.765865022409574,0.586549232550418,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMEB2",-0.46888064862789,0.672516828651023,0.471013884555801,0.221854079444345,"Akwa Ibom-2021","IITA-TMS-IBA000070"
